titulo,genero,duracion,tono,anio,calificacion
the shawshank redemption,Drama,larga,serio,1994,9.3
the godfather,"Crime, Drama",larga,serio,1972,9.2
the dark knight,"Action, Crime, Drama",larga,serio,2008,9.0
the godfather: part ii,"Crime, Drama",larga,serio,1974,9.0
12 angry men,"Crime, Drama",media,serio,1957,9.0
the lord of the rings: the return of the king,"Action, Adventure, Drama",larga,serio,2003,8.9
pulp fiction,"Crime, Drama",larga,serio,1994,8.9
schindler's list,"Biography, Drama, History",larga,serio,1993,8.9
inception,"Action, Adventure, Sci-Fi",larga,emocionante,2010,8.8
fight club,Drama,larga,serio,1999,8.8
the lord of the rings: the fellowship of the ring,"Action, Adventure, Drama",larga,serio,2001,8.8
forrest gump,"Drama, Romance",larga,serio,1994,8.8
"il buono, il brutto, il cattivo",Western,larga,neutral,1966,8.8
the lord of the rings: the two towers,"Action, Adventure, Drama",larga,serio,2002,8.7
the matrix,"Action, Sci-Fi",larga,emocionante,1999,8.7
goodfellas,"Biography, Crime, Drama",larga,serio,1990,8.7
star wars: episode v - the empire strikes back,"Action, Adventure, Fantasy",larga,emocionante,1980,8.7
one flew over the cuckoo's nest,Drama,larga,serio,1975,8.7
hamilton,"Biography, Drama, History",larga,serio,2020,8.6
gisaengchung,"Comedy, Drama, Thriller",larga,divertido,2019,8.6
soorarai pottru,Drama,larga,serio,2020,8.6
interstellar,"Adventure, Drama, Sci-Fi",larga,serio,2014,8.6
cidade de deus,"Crime, Drama",larga,serio,2002,8.6
sen to chihiro no kamikakushi,"Animation, Adventure, Family",larga,neutral,2001,8.6
saving private ryan,"Drama, War",larga,serio,1998,8.6
the green mile,"Crime, Drama, Fantasy",larga,serio,1999,8.6
la vita è bella,"Comedy, Drama, Romance",media,divertido,1997,8.6
se7en,"Crime, Drama, Mystery",larga,serio,1995,8.6
the silence of the lambs,"Crime, Drama, Thriller",media,serio,1991,8.6
star wars,"Action, Adventure, Fantasy",larga,emocionante,1977,8.6
seppuku,"Action, Drama, Mystery",larga,serio,1962,8.6
shichinin no samurai,"Action, Adventure, Drama",larga,serio,1954,8.6
it's a wonderful life,"Drama, Family, Fantasy",larga,serio,1946,8.6
joker,"Crime, Drama, Thriller",larga,serio,2019,8.5
whiplash,"Drama, Music",media,serio,2014,8.5
the intouchables,"Biography, Comedy, Drama",media,divertido,2011,8.5
the prestige,"Drama, Mystery, Sci-Fi",larga,serio,2006,8.5
the departed,"Crime, Drama, Thriller",larga,serio,2006,8.5
the pianist,"Biography, Drama, Music",larga,serio,2002,8.5
gladiator,"Action, Adventure, Drama",larga,serio,2000,8.5
american history x,Drama,media,serio,1998,8.5
the usual suspects,"Crime, Mystery, Thriller",media,neutral,1995,8.5
léon,"Action, Crime, Drama",media,serio,1994,8.5
the lion king,"Animation, Adventure, Drama",corta,serio,1994,8.5
terminator 2: judgment day,"Action, Sci-Fi",larga,emocionante,1991,8.5
nuovo cinema paradiso,"Drama, Romance",larga,serio,1988,8.5
hotaru no haka,"Animation, Drama, War",corta,serio,1988,8.5
back to the future,"Adventure, Comedy, Sci-Fi",media,divertido,1985,8.5
once upon a time in the west,Western,larga,neutral,1968,8.5
psycho,"Horror, Mystery, Thriller",media,oscuro,1960,8.5
casablanca,"Drama, Romance, War",media,serio,1942,8.5
modern times,"Comedy, Drama, Family",corta,divertido,1936,8.5
city lights,"Comedy, Drama, Romance",corta,divertido,1931,8.5
capharnaüm,Drama,larga,serio,2018,8.4
ayla: the daughter of war,"Biography, Drama, History",larga,serio,2017,8.4
vikram vedha,"Action, Crime, Drama",larga,serio,2017,8.4
kimi no na wa.,"Animation, Drama, Fantasy",media,serio,2016,8.4
dangal,"Action, Biography, Drama",larga,serio,2016,8.4
spider-man: into the spider-verse,"Animation, Action, Adventure",media,emocionante,2018,8.4
avengers: endgame,"Action, Adventure, Drama",larga,serio,2019,8.4
avengers: infinity war,"Action, Adventure, Sci-Fi",larga,emocionante,2018,8.4
coco,"Animation, Adventure, Family",media,neutral,2017,8.4
django unchained,"Drama, Western",larga,serio,2012,8.4
the dark knight rises,"Action, Adventure",larga,emocionante,2012,8.4
3 idiots,"Comedy, Drama",larga,divertido,2009,8.4
taare zameen par,"Drama, Family",larga,serio,2007,8.4
wall·e,"Animation, Adventure, Family",media,neutral,2008,8.4
the lives of others,"Drama, Mystery, Thriller",larga,serio,2006,8.4
oldeuboi,"Action, Drama, Mystery",media,serio,2003,8.4
memento,"Mystery, Thriller",media,neutral,2000,8.4
mononoke-hime,"Animation, Action, Adventure",larga,emocionante,1997,8.4
once upon a time in america,"Crime, Drama",larga,serio,1984,8.4
raiders of the lost ark,"Action, Adventure",media,emocionante,1981,8.4
the shining,"Drama, Horror",larga,serio,1980,8.4
apocalypse now,"Drama, Mystery, War",larga,serio,1979,8.4
alien,"Horror, Sci-Fi",media,oscuro,1979,8.4
anand,"Drama, Musical",larga,serio,1971,8.4
tengoku to jigoku,"Crime, Drama, Mystery",larga,serio,1963,8.4
dr. strangelove or: how i learned to stop worrying and love the bomb,Comedy,media,divertido,1964,8.4
witness for the prosecution,"Crime, Drama, Mystery",media,serio,1957,8.4
paths of glory,"Drama, War",corta,serio,1957,8.4
rear window,"Mystery, Thriller",media,neutral,1954,8.4
sunset blvd.,"Drama, Film-Noir",media,serio,1950,8.4
the great dictator,"Comedy, Drama, War",larga,divertido,1940,8.4
1917,"Drama, Thriller, War",media,serio,2019,8.3
tumbbad,"Drama, Fantasy, Horror",media,serio,2018,8.3
andhadhun,"Crime, Drama, Music",larga,serio,2018,8.3
drishyam,"Crime, Drama, Thriller",larga,serio,2013,8.3
jagten,Drama,media,serio,2012,8.3
jodaeiye nader az simin,Drama,larga,serio,2011,8.3
incendies,"Drama, Mystery, War",larga,serio,2010,8.3
miracle in cell no.7,Drama,larga,serio,2019,8.3
babam ve oglum,"Drama, Family",media,serio,2005,8.3
inglourious basterds,"Adventure, Drama, War",larga,serio,2009,8.3
eternal sunshine of the spotless mind,"Drama, Romance, Sci-Fi",media,serio,2004,8.3
amélie,"Comedy, Romance",larga,divertido,2001,8.3
snatch,"Comedy, Crime",media,divertido,2000,8.3
requiem for a dream,Drama,media,serio,2000,8.3
american beauty,Drama,larga,serio,1999,8.3
good will hunting,"Drama, Romance",larga,serio,1997,8.3
bacheha-ye aseman,"Drama, Family, Sport",corta,serio,1997,8.3
toy story,"Animation, Adventure, Comedy",corta,divertido,1995,8.3
braveheart,"Biography, Drama, History",larga,serio,1995,8.3
reservoir dogs,"Crime, Drama, Thriller",media,serio,1992,8.3
full metal jacket,"Drama, War",media,serio,1987,8.3
idi i smotri,"Drama, Thriller, War",larga,serio,1985,8.3
aliens,"Action, Adventure, Sci-Fi",larga,emocionante,1986,8.3
amadeus,"Biography, Drama, History",larga,serio,1984,8.3
scarface,"Crime, Drama",larga,serio,1983,8.3
star wars: episode vi - return of the jedi,"Action, Adventure, Fantasy",larga,emocionante,1983,8.3
das boot,"Adventure, Drama, Thriller",larga,serio,1981,8.3
taxi driver,"Crime, Drama",media,serio,1976,8.3
the sting,"Comedy, Crime, Drama",larga,divertido,1973,8.3
a clockwork orange,"Crime, Drama, Sci-Fi",larga,serio,1971,8.3
2001: a space odyssey,"Adventure, Sci-Fi",larga,neutral,1968,8.3
per qualche dollaro in più,Western,larga,neutral,1965,8.3
lawrence of arabia,"Adventure, Biography, Drama",larga,serio,1962,8.3
the apartment,"Comedy, Drama, Romance",larga,divertido,1960,8.3
north by northwest,"Adventure, Mystery, Thriller",larga,neutral,1959,8.3
vertigo,"Mystery, Romance, Thriller",larga,neutral,1958,8.3
singin' in the rain,"Comedy, Musical, Romance",media,divertido,1952,8.3
ikiru,Drama,larga,serio,1952,8.3
ladri di biciclette,Drama,corta,serio,1948,8.3
double indemnity,"Crime, Drama, Film-Noir",media,serio,1944,8.3
citizen kane,"Drama, Mystery",media,serio,1941,8.3
m - eine stadt sucht einen mörder,"Crime, Mystery, Thriller",media,neutral,1931,8.3
metropolis,"Drama, Sci-Fi",larga,serio,1927,8.3
the kid,"Comedy, Drama, Family",corta,divertido,1921,8.3
chhichhore,"Comedy, Drama",larga,divertido,2019,8.2
uri: the surgical strike,"Action, Drama, War",larga,serio,2018,8.2
k.g.f: chapter 1,"Action, Drama",larga,serio,2018,8.2
green book,"Biography, Comedy, Drama",larga,divertido,2018,8.2
"three billboards outside ebbing, missouri","Comedy, Crime, Drama",media,divertido,2017,8.2
talvar,"Crime, Drama, Mystery",larga,serio,2015,8.2
baahubali 2: the conclusion,"Action, Drama",larga,serio,2017,8.2
klaus,"Animation, Adventure, Comedy",media,divertido,2019,8.2
queen,"Adventure, Comedy, Drama",larga,divertido,2013,8.2
mandariinid,"Drama, War",corta,serio,2013,8.2
bhaag milkha bhaag,"Biography, Drama, Sport",larga,serio,2013,8.2
gangs of wasseypur,"Action, Comedy, Crime",larga,divertido,2012,8.2
udaan,Drama,larga,serio,2010,8.2
paan singh tomar,"Action, Biography, Crime",larga,emocionante,2012,8.2
el secreto de sus ojos,"Drama, Mystery, Romance",larga,serio,2009,8.2
warrior,"Action, Drama, Sport",larga,serio,2011,8.2
shutter island,"Mystery, Thriller",larga,neutral,2010,8.2
up,"Animation, Adventure, Comedy",media,divertido,2009,8.2
the wolf of wall street,"Biography, Crime, Drama",larga,serio,2013,8.2
chak de! india,"Drama, Family, Sport",larga,serio,2007,8.2
there will be blood,Drama,larga,serio,2007,8.2
pan's labyrinth,"Drama, Fantasy, War",media,serio,2006,8.2
toy story 3,"Animation, Adventure, Comedy",media,divertido,2010,8.2
v for vendetta,"Action, Drama, Sci-Fi",larga,serio,2005,8.2
rang de basanti,"Comedy, Crime, Drama",larga,divertido,2006,8.2
black,Drama,larga,serio,2005,8.2
batman begins,"Action, Adventure",larga,emocionante,2005,8.2
"swades: we, the people",Drama,larga,serio,2004,8.2
der untergang,"Biography, Drama, History",larga,serio,2004,8.2
hauru no ugoku shiro,"Animation, Adventure, Family",media,neutral,2004,8.2
a beautiful mind,"Biography, Drama",larga,serio,2001,8.2
hera pheri,"Action, Comedy, Crime",larga,divertido,2000,8.2
"lock, stock and two smoking barrels","Action, Comedy, Crime",media,divertido,1998,8.2
l.a. confidential,"Crime, Drama, Mystery",larga,serio,1997,8.2
eskiya,"Crime, Drama, Thriller",larga,serio,1996,8.2
heat,"Crime, Drama, Thriller",larga,serio,1995,8.2
casino,"Crime, Drama",larga,serio,1995,8.2
andaz apna apna,"Action, Comedy, Romance",larga,divertido,1994,8.2
unforgiven,"Drama, Western",larga,serio,1992,8.2
indiana jones and the last crusade,"Action, Adventure",larga,emocionante,1989,8.2
dom za vesanje,"Comedy, Crime, Drama",larga,divertido,1988,8.2
tonari no totoro,"Animation, Family, Fantasy",corta,neutral,1988,8.2
die hard,"Action, Thriller",larga,emocionante,1988,8.2
ran,"Action, Drama, War",larga,serio,1985,8.2
raging bull,"Biography, Drama, Sport",larga,serio,1980,8.2
stalker,"Drama, Sci-Fi",larga,serio,1979,8.2
höstsonaten,"Drama, Music",media,serio,1978,8.2
the message,"Biography, Drama, History",larga,serio,1976,8.2
sholay,"Action, Adventure, Comedy",larga,divertido,1975,8.2
monty python and the holy grail,"Adventure, Comedy, Fantasy",media,divertido,1975,8.2
the great escape,"Adventure, Drama, History",larga,serio,1963,8.2
to kill a mockingbird,"Crime, Drama",larga,serio,1962,8.2
yôjinbô,"Action, Drama, Thriller",media,serio,1961,8.2
judgment at nuremberg,"Drama, War",larga,serio,1961,8.2
some like it hot,"Comedy, Music, Romance",larga,divertido,1959,8.2
smultronstället,"Drama, Romance",media,serio,1957,8.2
det sjunde inseglet,"Drama, Fantasy, History",media,serio,1957,8.2
du rififi chez les hommes,"Crime, Drama, Thriller",media,serio,1955,8.2
dial m for murder,"Crime, Thriller",media,neutral,1954,8.2
tôkyô monogatari,Drama,larga,serio,1953,8.2
rashômon,"Crime, Drama, Mystery",corta,serio,1950,8.2
all about eve,Drama,larga,serio,1950,8.2
the treasure of the sierra madre,"Adventure, Drama, Western",larga,serio,1948,8.2
to be or not to be,"Comedy, War",media,divertido,1942,8.2
the gold rush,"Adventure, Comedy, Drama",media,divertido,1925,8.2
sherlock jr.,"Action, Comedy, Romance",corta,divertido,1924,8.2
portrait de la jeune fille en feu,"Drama, Romance",larga,serio,2019,8.1
pink,"Drama, Thriller",larga,serio,2016,8.1
koe no katachi,"Animation, Drama, Family",larga,serio,2016,8.1
contratiempo,"Crime, Drama, Mystery",media,serio,2016,8.1
ah-ga-ssi,"Drama, Romance, Thriller",larga,serio,2016,8.1
mommy,Drama,larga,serio,2014,8.1
haider,"Action, Crime, Drama",larga,serio,2014,8.1
logan,"Action, Drama, Sci-Fi",larga,serio,2017,8.1
room,"Drama, Thriller",media,serio,2015,8.1
relatos salvajes,"Comedy, Drama, Thriller",larga,divertido,2014,8.1
soul,"Animation, Adventure, Comedy",media,divertido,2020,8.1
kis uykusu,Drama,larga,serio,2014,8.1
pk,"Comedy, Drama, Musical",larga,divertido,2014,8.1
omg: oh my god!,"Comedy, Drama, Fantasy",larga,divertido,2012,8.1
the grand budapest hotel,"Adventure, Comedy, Crime",media,divertido,2014,8.1
gone girl,"Drama, Mystery, Thriller",larga,serio,2014,8.1
ôkami kodomo no ame to yuki,"Animation, Drama, Fantasy",media,serio,2012,8.1
hacksaw ridge,"Biography, Drama, History",larga,serio,2016,8.1
inside out,"Animation, Adventure, Comedy",media,divertido,2015,8.1
barfi!,"Comedy, Drama, Romance",larga,divertido,2012,8.1
12 years a slave,"Biography, Drama, History",larga,serio,2013,8.1
rush,"Action, Biography, Drama",larga,serio,2013,8.1
ford v ferrari,"Action, Biography, Drama",larga,serio,2019,8.1
spotlight,"Biography, Crime, Drama",larga,serio,2015,8.1
song of the sea,"Animation, Adventure, Drama",media,serio,2014,8.1
kahaani,"Mystery, Thriller",larga,neutral,2012,8.1
zindagi na milegi dobara,"Comedy, Drama",larga,divertido,2011,8.1
prisoners,"Crime, Drama, Mystery",larga,serio,2013,8.1
mad max: fury road,"Action, Adventure, Sci-Fi",media,emocionante,2015,8.1
a wednesday,"Action, Crime, Drama",media,serio,2008,8.1
gran torino,Drama,media,serio,2008,8.1
harry potter and the deathly hallows: part 2,"Adventure, Drama, Fantasy",larga,serio,2011,8.1
okuribito,"Drama, Music",larga,serio,2008,8.1
hachi: a dog's tale,"Biography, Drama, Family",media,serio,2009,8.1
mary and max,"Animation, Comedy, Drama",media,divertido,2009,8.1
how to train your dragon,"Animation, Action, Adventure",media,emocionante,2010,8.1
into the wild,"Adventure, Biography, Drama",larga,serio,2007,8.1
no country for old men,"Crime, Drama, Thriller",larga,serio,2007,8.1
lage raho munna bhai,"Comedy, Drama, Romance",larga,divertido,2006,8.1
million dollar baby,"Drama, Sport",larga,serio,2004,8.1
hotel rwanda,"Biography, Drama, History",larga,serio,2004,8.1
taegukgi hwinalrimyeo,"Action, Drama, War",larga,serio,2004,8.1
before sunset,"Drama, Romance",corta,serio,2004,8.1
munna bhai m.b.b.s.,"Comedy, Drama, Musical",larga,divertido,2003,8.1
salinui chueok,"Crime, Drama, Mystery",larga,serio,2003,8.1
dil chahta hai,"Comedy, Drama, Romance",larga,divertido,2001,8.1
kill bill: vol. 1,"Action, Crime, Drama",media,serio,2003,8.1
finding nemo,"Animation, Adventure, Comedy",media,divertido,2003,8.1
catch me if you can,"Biography, Crime, Drama",larga,serio,2002,8.1
amores perros,"Drama, Thriller",larga,serio,2000,8.1
"monsters, inc.","Animation, Adventure, Comedy",media,divertido,2001,8.1
"shin seiki evangelion gekijô-ban: air/magokoro wo, kimi ni","Animation, Action, Drama",corta,serio,1997,8.1
lagaan: once upon a time in india,"Adventure, Drama, Musical",larga,serio,2001,8.1
the sixth sense,"Drama, Mystery, Thriller",media,serio,1999,8.1
la leggenda del pianista sull'oceano,"Drama, Music, Romance",larga,serio,1998,8.1
the truman show,"Comedy, Drama",media,divertido,1998,8.1
"crna macka, beli macor","Comedy, Crime, Romance",larga,divertido,1998,8.1
the big lebowski,"Comedy, Crime, Sport",media,divertido,1998,8.1
fa yeung nin wah,"Drama, Romance",media,serio,2000,8.1
trainspotting,Drama,media,serio,1996,8.1
fargo,"Crime, Drama, Thriller",media,serio,1996,8.1
underground,"Comedy, Drama, War",larga,divertido,1995,8.1
la haine,"Crime, Drama",media,serio,1995,8.1
dilwale dulhania le jayenge,"Drama, Romance",larga,serio,1995,8.1
before sunrise,"Drama, Romance",media,serio,1995,8.1
trois couleurs: rouge,"Drama, Mystery, Romance",media,serio,1994,8.1
chung hing sam lam,"Comedy, Crime, Drama",media,divertido,1994,8.1
jurassic park,"Action, Adventure, Sci-Fi",larga,emocionante,1993,8.1
in the name of the father,"Biography, Crime, Drama",larga,serio,1993,8.1
ba wang bie ji,"Drama, Music, Romance",larga,serio,1993,8.1
dà hóng denglong gaogao guà,"Drama, History, Romance",larga,serio,1991,8.1
dead poets society,"Comedy, Drama",larga,divertido,1989,8.1
stand by me,"Adventure, Drama",corta,serio,1986,8.1
platoon,"Drama, War",media,serio,1986,8.1
"paris, texas",Drama,larga,serio,1984,8.1
kaze no tani no naushika,"Animation, Adventure, Fantasy",media,neutral,1984,8.1
the thing,"Horror, Mystery, Sci-Fi",media,oscuro,1982,8.1
pink floyd: the wall,"Drama, Fantasy, Music",media,serio,1982,8.1
fitzcarraldo,"Adventure, Drama",larga,serio,1982,8.1
fanny och alexander,Drama,larga,serio,1982,8.1
blade runner,"Action, Sci-Fi, Thriller",media,emocionante,1982,8.1
the elephant man,"Biography, Drama",larga,serio,1980,8.1
life of brian,Comedy,media,divertido,1979,8.1
the deer hunter,"Drama, War",larga,serio,1978,8.1
rocky,"Drama, Sport",media,serio,1976,8.1
network,Drama,larga,serio,1976,8.1
barry lyndon,"Adventure, Drama, History",larga,serio,1975,8.1
zerkalo,"Biography, Drama",media,serio,1975,8.1
chinatown,"Drama, Mystery, Thriller",larga,serio,1974,8.1
paper moon,"Comedy, Crime, Drama",media,divertido,1973,8.1
viskningar och rop,Drama,media,serio,1972,8.1
solaris,"Drama, Mystery, Sci-Fi",larga,serio,1972,8.1
le samouraï,"Crime, Drama, Mystery",media,serio,1967,8.1
cool hand luke,"Crime, Drama",larga,serio,1967,8.1
persona,"Drama, Thriller",corta,serio,1966,8.1
andrei rublev,"Biography, Drama, History",larga,serio,1966,8.1
la battaglia di algeri,"Drama, War",larga,serio,1966,8.1
el ángel exterminador,"Drama, Fantasy",media,serio,1962,8.1
what ever happened to baby jane?,"Drama, Horror, Thriller",larga,serio,1962,8.1
sanjuro,"Action, Comedy, Crime",media,divertido,1962,8.1
the man who shot liberty valance,"Drama, Western",larga,serio,1962,8.1
ivanovo detstvo,"Drama, War",media,serio,1962,8.1
jungfrukällan,Drama,corta,serio,1960,8.1
inherit the wind,"Biography, Drama, History",larga,serio,1960,8.1
les quatre cents coups,"Crime, Drama",media,serio,1959,8.1
ben-hur,"Adventure, Drama, History",larga,serio,1959,8.1
kakushi-toride no san-akunin,"Adventure, Drama",larga,serio,1958,8.1
le notti di cabiria,Drama,media,serio,1957,8.1
kumonosu-jô,"Drama, History",media,serio,1957,8.1
the bridge on the river kwai,"Adventure, Drama, War",larga,serio,1957,8.1
on the waterfront,"Crime, Drama, Thriller",media,serio,1954,8.1
le salaire de la peur,"Adventure, Drama, Thriller",larga,serio,1953,8.1
ace in the hole,"Drama, Film-Noir",media,serio,1951,8.1
white heat,"Action, Crime, Drama",media,serio,1949,8.1
the third man,"Film-Noir, Mystery, Thriller",media,neutral,1949,8.1
the red shoes,"Drama, Music, Romance",larga,serio,1948,8.1
the shop around the corner,"Comedy, Drama, Romance",media,divertido,1940,8.1
rebecca,"Drama, Mystery, Romance",larga,serio,1940,8.1
mr. smith goes to washington,"Comedy, Drama",larga,divertido,1939,8.1
gone with the wind,"Drama, History, Romance",larga,serio,1939,8.1
la grande illusion,"Drama, War",media,serio,1937,8.1
it happened one night,"Comedy, Romance",media,divertido,1934,8.1
la passion de jeanne d'arc,"Biography, Drama, History",media,serio,1928,8.1
the circus,"Comedy, Romance",corta,divertido,1928,8.1
sunrise: a song of two humans,"Drama, Romance",media,serio,1927,8.1
the general,"Action, Adventure, Comedy",corta,divertido,1926,8.1
das cabinet des dr. caligari,"Fantasy, Horror, Mystery",corta,oscuro,1920,8.1
badhaai ho,"Comedy, Drama",larga,divertido,2018,8.0
togo,"Adventure, Biography, Drama",media,serio,2019,8.0
airlift,"Drama, History",larga,serio,2016,8.0
bajrangi bhaijaan,"Action, Adventure, Comedy",larga,divertido,2015,8.0
baby,"Action, Crime, Thriller",larga,emocionante,2015,8.0
la la land,"Comedy, Drama, Music",larga,divertido,2016,8.0
lion,"Biography, Drama",media,serio,2016,8.0
the martian,"Adventure, Drama, Sci-Fi",larga,serio,2015,8.0
zootopia,"Animation, Adventure, Comedy",media,divertido,2016,8.0
bãhubali: the beginning,"Action, Drama",larga,serio,2015,8.0
kaguyahime no monogatari,"Animation, Adventure, Drama",larga,serio,2013,8.0
wonder,"Drama, Family",media,serio,2017,8.0
gully boy,"Drama, Music, Romance",larga,serio,2019,8.0
special chabbis,"Crime, Drama, Thriller",larga,serio,2013,8.0
short term 12,Drama,media,serio,2013,8.0
serbuan maut 2: berandal,"Action, Crime, Thriller",larga,emocionante,2014,8.0
the imitation game,"Biography, Drama, Thriller",media,serio,2014,8.0
guardians of the galaxy,"Action, Adventure, Comedy",larga,divertido,2014,8.0
blade runner 2049,"Action, Drama, Mystery",larga,serio,2017,8.0
her,"Drama, Romance, Sci-Fi",larga,serio,2013,8.0
bohemian rhapsody,"Biography, Drama, Music",larga,serio,2018,8.0
the revenant,"Action, Adventure, Drama",larga,serio,2015,8.0
the perks of being a wallflower,"Drama, Romance",media,serio,2012,8.0
tropa de elite 2: o inimigo agora é outro,"Action, Crime, Drama",media,serio,2010,8.0
the king's speech,"Biography, Drama, History",media,serio,2010,8.0
the help,Drama,larga,serio,2011,8.0
deadpool,"Action, Adventure, Comedy",media,divertido,2016,8.0
darbareye elly,"Drama, Mystery",media,serio,2009,8.0
dev.d,"Drama, Romance",larga,serio,2009,8.0
yip man,"Action, Biography, Drama",media,serio,2008,8.0
my name is khan,Drama,larga,serio,2010,8.0
nefes: vatan sagolsun,"Action, Drama, Thriller",larga,serio,2009,8.0
slumdog millionaire,"Drama, Romance",media,serio,2008,8.0
black swan,"Drama, Thriller",media,serio,2010,8.0
tropa de elite,"Action, Crime, Drama",media,serio,2007,8.0
the avengers,"Action, Adventure, Sci-Fi",larga,emocionante,2012,8.0
persepolis,"Animation, Biography, Drama",media,serio,2007,8.0
dallas buyers club,"Biography, Drama",media,serio,2013,8.0
the pursuit of happyness,"Biography, Drama",media,serio,2006,8.0
blood diamond,"Adventure, Drama, Thriller",larga,serio,2006,8.0
the bourne ultimatum,"Action, Mystery, Thriller",media,emocionante,2007,8.0
bin-jip,"Crime, Drama, Romance",corta,serio,2004,8.0
sin city,"Crime, Thriller",larga,neutral,2005,8.0
le scaphandre et le papillon,"Biography, Drama",media,serio,2007,8.0
g.o.r.a.,"Adventure, Comedy, Sci-Fi",larga,divertido,2004,8.0
ratatouille,"Animation, Adventure, Comedy",media,divertido,2007,8.0
casino royale,"Action, Adventure, Thriller",larga,emocionante,2006,8.0
kill bill: vol. 2,"Action, Crime, Thriller",larga,emocionante,2004,8.0
vozvrashchenie,Drama,media,serio,2003,8.0
bom yeoareum gaeul gyeoul geurigo bom,"Drama, Romance",media,serio,2003,8.0
mar adentro,"Biography, Drama",larga,serio,2014,8.0
cinderella man,"Biography, Drama, History",larga,serio,2005,8.0
kal ho naa ho,"Comedy, Drama, Musical",larga,divertido,2003,8.0
mou gaan dou,"Action, Crime, Drama",media,serio,2002,8.0
pirates of the caribbean: the curse of the black pearl,"Action, Adventure, Fantasy",larga,emocionante,2003,8.0
big fish,"Adventure, Drama, Fantasy",larga,serio,2003,8.0
the incredibles,"Animation, Action, Adventure",media,emocionante,2004,8.0
yeopgijeogin geunyeo,"Comedy, Drama, Romance",larga,divertido,2001,8.0
dogville,"Crime, Drama",larga,serio,2003,8.0
vizontele,"Comedy, Drama",media,divertido,2001,8.0
donnie darko,"Drama, Mystery, Sci-Fi",media,serio,2001,8.0
magnolia,Drama,larga,serio,1999,8.0
dancer in the dark,"Crime, Drama, Musical",larga,serio,2000,8.0
the straight story,"Biography, Drama",media,serio,1999,8.0
pâfekuto burû,"Animation, Crime, Mystery",corta,neutral,1997,8.0
festen,Drama,media,serio,1998,8.0
central do brasil,Drama,media,serio,1998,8.0
the iron giant,"Animation, Action, Adventure",corta,emocionante,1999,8.0
knockin' on heaven's door,"Action, Crime, Comedy",corta,divertido,1997,8.0
sling blade,Drama,larga,serio,1996,8.0
secrets & lies,"Comedy, Drama",larga,divertido,1996,8.0
twelve monkeys,"Mystery, Sci-Fi, Thriller",larga,neutral,1995,8.0
kôkaku kidôtai,"Animation, Action, Crime",corta,emocionante,1995,8.0
the nightmare before christmas,"Animation, Family, Fantasy",corta,neutral,1993,8.0
groundhog day,"Comedy, Fantasy, Romance",media,divertido,1993,8.0
bound by honor,"Crime, Drama",larga,serio,1993,8.0
scent of a woman,Drama,larga,serio,1992,8.0
aladdin,"Animation, Adventure, Comedy",media,divertido,1992,8.0
jfk,"Drama, History, Thriller",larga,serio,1991,8.0
beauty and the beast,"Animation, Family, Fantasy",corta,neutral,1991,8.0
dances with wolves,"Adventure, Drama, Western",larga,serio,1990,8.0
do the right thing,"Comedy, Drama",media,divertido,1989,8.0
rain man,Drama,larga,serio,1988,8.0
akira,"Animation, Action, Sci-Fi",larga,emocionante,1988,8.0
the princess bride,"Adventure, Family, Fantasy",media,neutral,1987,8.0
der himmel über berlin,"Drama, Fantasy, Romance",larga,serio,1987,8.0
au revoir les enfants,"Drama, War",media,serio,1987,8.0
tenkû no shiro rapyuta,"Animation, Adventure, Drama",larga,serio,1986,8.0
the terminator,"Action, Sci-Fi",media,emocionante,1984,8.0
gandhi,"Biography, Drama, History",larga,serio,1982,8.0
kagemusha,"Drama, History, War",larga,serio,1980,8.0
being there,"Comedy, Drama",larga,divertido,1979,8.0
annie hall,"Comedy, Romance",media,divertido,1977,8.0
jaws,"Adventure, Thriller",larga,neutral,1975,8.0
dog day afternoon,"Biography, Crime, Drama",larga,serio,1975,8.0
young frankenstein,Comedy,media,divertido,1974,8.0
papillon,"Biography, Crime, Drama",larga,serio,1973,8.0
the exorcist,Horror,larga,oscuro,1973,8.0
sleuth,"Mystery, Thriller",larga,neutral,1972,8.0
the last picture show,"Drama, Romance",media,serio,1971,8.0
fiddler on the roof,"Drama, Family, Musical",larga,serio,1971,8.0
il conformista,Drama,media,serio,1970,8.0
butch cassidy and the sundance kid,"Biography, Crime, Drama",media,serio,1969,8.0
rosemary's baby,"Drama, Horror",larga,serio,1968,8.0
planet of the apes,"Adventure, Sci-Fi",media,neutral,1968,8.0
the graduate,"Comedy, Drama, Romance",media,divertido,1967,8.0
who's afraid of virginia woolf?,Drama,larga,serio,1966,8.0
the sound of music,"Biography, Drama, Family",larga,serio,1965,8.0
doctor zhivago,"Drama, Romance, War",larga,serio,1965,8.0
per un pugno di dollari,"Action, Drama, Western",media,serio,1964,8.0
8½,Drama,larga,serio,1963,8.0
vivre sa vie: film en douze tableaux,Drama,corta,serio,1962,8.0
the hustler,"Drama, Sport",larga,serio,1961,8.0
la dolce vita,"Comedy, Drama",larga,divertido,1960,8.0
rio bravo,"Action, Drama, Western",larga,serio,1959,8.0
anatomy of a murder,"Crime, Drama, Mystery",larga,serio,1959,8.0
touch of evil,"Crime, Drama, Film-Noir",media,serio,1958,8.0
cat on a hot tin roof,Drama,media,serio,1958,8.0
sweet smell of success,"Drama, Film-Noir",media,serio,1957,8.0
