titulo,genero,duracion,tono,anio,calificacion
the good son,Drama,corta,serio,1993,6.4
single white female,Drama,media,serio,1992,6.4
lord of the flies,Adventure,media,neutral,1990,6.4
always,Drama,larga,serio,1989,6.4
peggy sue got married,Comedy,media,divertido,1986,6.4
dýrið,Drama,media,serio,2021,6.3
prospect,Adventure,media,neutral,2018,6.3
the beguiled,Drama,media,serio,2017,6.3
"everything, everything",Drama,media,serio,2017,6.3
cargo,Drama,media,serio,2017,6.3
delivery man,Comedy,media,divertido,2013,6.3
third person,Drama,larga,serio,2013,6.3
hours,Drama,media,serio,2013,6.3
young adult,Comedy,media,divertido,2011,6.3
hope springs,Comedy,media,divertido,2012,6.3
somewhere,Comedy,media,divertido,2010,6.3
upside down,Drama,media,serio,2012,6.3
cyrus,Comedy,media,divertido,2010,6.3
funny people,Comedy,larga,divertido,2009,6.3
you will meet a tall dark stranger,Comedy,media,divertido,2010,6.3
to all the boys: always and forever,Comedy,media,divertido,2021,6.3
"angus, thongs and perfect snogging",Comedy,media,divertido,2008,6.3
take me home tonight,Comedy,media,divertido,2011,6.3
no reservations,Comedy,media,divertido,2007,6.3
a long way down,Comedy,media,divertido,2014,6.3
stick it,Comedy,media,divertido,2006,6.3
tideland,Drama,media,serio,2005,6.3
elizabethtown,Comedy,larga,divertido,2005,6.3
the family stone,Comedy,media,divertido,2005,6.3
barbershop,Comedy,media,divertido,2002,6.3
hart's war,Drama,larga,serio,2002,6.3
rock star,Drama,media,serio,2001,6.3
celebrity,Comedy,media,divertido,1998,6.3
my best friend's wedding,Comedy,media,divertido,1997,6.3
forever young,Drama,media,serio,1992,6.3
doc hollywood,Comedy,media,divertido,1991,6.3
mystic pizza,Comedy,media,divertido,1988,6.3
st. elmo's fire,Drama,media,serio,1985,6.3
the perfection,Drama,media,serio,2018,6.2
wonder wheel,Drama,media,serio,2017,6.2
the discovery,Drama,media,serio,2017,6.2
colossal,Comedy,media,divertido,2016,6.2
krampus,Comedy,media,divertido,2015,6.2
girls trip,Adventure,larga,neutral,2017,6.2
before i wake,Drama,media,serio,2016,6.2
trainwreck,Comedy,larga,divertido,2015,6.2
the shack,Drama,larga,serio,2017,6.2
blockers,Comedy,media,divertido,2018,6.2
palo alto,Drama,media,serio,2013,6.2
endless love,Drama,media,serio,2014,6.2
maps to the stars,Comedy,media,divertido,2014,6.2
adoration,Drama,media,serio,2013,6.2
american mary,Drama,media,serio,2012,6.2
this is 40,Comedy,larga,divertido,2012,6.2
